id,project_id,repository_id,repository_url,project_url,file_name,file_type,status
1,1,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD4042,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
2,2,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3934,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
3,3,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3992,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
4,4,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3990,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
5,5,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3605,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
6,6,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3604,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
7,7,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3647,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
8,8,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3534,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
9,9,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3425,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
10,10,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3786,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
11,11,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3609,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
12,12,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3535,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
13,13,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3129,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
14,14,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3955,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
15,15,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3203,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
16,16,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2957,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
17,17,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2867,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
18,18,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3504,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
19,19,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3807,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
20,20,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3618,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
21,21,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3138,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
22,22,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3966,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
23,23,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3868,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
24,24,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3753,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
25,25,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3772,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
26,26,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3521,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
27,27,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3862,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
28,28,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3652,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
29,29,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3346,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
30,30,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2956,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
31,31,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3842,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
32,32,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2076,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
33,33,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1129,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
34,34,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2741,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
35,35,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1285,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
36,36,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2109,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
37,37,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3583,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
38,38,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2309,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
39,39,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3128,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
40,40,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3672,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
41,41,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3847,FSD3847.zip,zip,FAILED_LOGIN_REQUIRED
42,42,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3044,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
43,43,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2864,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
44,44,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1002,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
45,45,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3585,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
46,46,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2750,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
47,47,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3845,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
48,48,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3300,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
49,49,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3572,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
50,50,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2202,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
51,51,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2383,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
52,52,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2120,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
53,53,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3733,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
54,54,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD4014,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
55,55,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3836,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
56,56,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3258,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
57,57,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2033,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
58,58,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3022,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
59,59,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3314,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
60,60,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2381,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
61,61,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2317,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
62,62,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2688,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
63,63,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3549,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
64,64,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3414,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
65,65,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2568,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
66,66,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2382,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
67,67,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3400,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
68,68,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2461,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
69,69,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2549,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
70,70,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2641,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
71,71,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2247,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
72,72,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3169,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
73,73,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1118,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
74,74,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3589,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
75,75,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3311,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
76,76,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1089,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
77,77,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2195,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
78,78,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3823,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
79,79,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2539,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
80,80,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3309,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
81,81,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3207,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
82,82,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2379,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
83,83,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3573,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
84,84,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1296,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
85,85,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2073,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
86,86,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2545,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
87,87,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3125,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
88,88,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2694,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
89,89,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2002,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
90,90,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1016,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
91,91,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2114,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
92,92,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3147,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
93,93,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3339,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
94,94,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2854,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
95,95,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2818,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
96,96,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2355,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
97,97,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3880,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
98,98,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2593,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
99,99,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2757,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
100,100,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3405,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
101,101,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2707,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
102,102,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3402,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
103,103,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2689,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
104,104,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2170,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
105,105,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2727,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
106,106,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3563,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
107,107,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3356,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
108,108,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2405,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
109,109,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2016,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
110,110,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1013,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
111,111,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3094,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
112,112,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2740,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
113,113,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3799,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
114,114,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2766,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
115,115,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3479,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
116,116,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1260,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
117,117,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2005,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
118,118,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2075,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
119,119,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3816,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
120,120,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2831,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
121,121,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3874,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
122,122,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2710,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
123,123,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3354,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
124,124,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3086,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
125,125,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3150,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
126,126,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3424,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
127,127,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3923,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
128,128,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2124,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
129,129,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2633,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
130,130,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2625,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
131,131,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1306,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
132,132,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3278,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
133,133,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3610,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
134,134,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3671,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
135,135,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD1006,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
136,136,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3123,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
137,137,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2374,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
138,138,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3659,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
139,139,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3166,FSD3166.zip,zip,FAILED_LOGIN_REQUIRED
140,140,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3392,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
141,141,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2123,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
142,142,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2647,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
143,143,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2679,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
144,144,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2952,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
145,145,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3726,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
146,146,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2655,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
147,147,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2121,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
148,148,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3259,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
149,149,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3088,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
